Size	   Bubble Sort	Selection Sort	Insertion Sort
50	64802.12	32031.98	41802.67
100	54549.305	18101.336	104422.36
150	97331.16	33162.645	17753.574
200	118807.32	45585.02	24196.225
250	410935.25	110156.82	53809.06
300	369320.44	148819.12	97947.7
350	402617.38	143515.64	83195.72
400	530877.56	198726.34	111880.44
450	683408.8	292693.12	200232.4
500	692347.6	248027.69	137742.95
550	904176.8	324957.75	184955.64
600	989535.94	362512.88	201401.55
650	1293151.5	472098.1	263741.78
700	1408637.6	506786.03	288989.8
750	1887169.9	678463.94	381563.6
800	1915382.9	687846.2	390094.75
850	2386167.8	835688.0	475515.62
900	2450962.8	888674.2	498220.44
950	3215606.8	1188434.8	660991.94
1000	3506786.5	1257644.8	721640.4
